"prop"	"symbol"	"redirected"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Bouteloua_gracilis"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Bolo_tie"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Turquoise"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Flag_of_New_Mexico"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_whiptail"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Hot_air_balloon"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_spadefoot_toad"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Pinus_edulis"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Greater_roadrunner"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/List_of_New_Mexico_state_symbols"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Chili_pepper"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Franco-Terreneuvian_flag"	"http://dbpedia.org/resource/Franco-Newfoundlander"
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Manitoba"	"http://dbpedia.org/resource/Prairie_crocus"	"http://dbpedia.org/resource/Pulsatilla_nuttalliana"
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_British_Columbia"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_Ontario"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_Quebec"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_Saskatchewan"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_Prince_Edward_Island"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_Alberta"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_Newfoundland_and_Labrador"	
